(de) tempo parcial	envolvendo menos do que o tempo normal ou habitual para uma atividade
Africa	A África é o terceiro continente mais extenso (atrás da Ásia e das Américas) com cerca de 30 milhões de quilômetros quadrados, cobrindo 20,3 % da área total da terra firme do planeta. É o segundo continente mais populoso da Terra (atrás da Ásia) com cerca de 900 milhões de pessoas, representando cerca de um sétimo da população do mundo, e 53 países independentes; apesar de existirem colônias pertencentes a outros países fora desse continente, principalmente ilhas, por exemplo Madeira, pertencente a Portugal, Ilha de Ascensão pertencente ao Reino Unido entre outras.
Agosto	O mês seguinte a julho e anterior a setembro
Agência Central de Inteligência	uma agência independente do governo dos Estados Unidos responsável pela recolha e coordenação das atividades de inteligência e contra-inteligência no exterior
Agência Internacional de Energia Atómica	a agência das Nações Unidas relacionada com energia atómica
Al Gore	vice-presidente dos Estados Unidos sob Bill Clinton (nascido em 1948)
Albania	A Albânia é um país europeu situado na península Balcânica, cuja capital é Tirana. Faz fronteira ao norte com o Montenegro, a nordeste com o Kosovo, a leste com a Macedónia, a leste e a sul com a Grécia e a oeste com o Mar Adriático, do outro lado do qual se encontra a Itália. A língua oficial é o albanês.
Albânia	A Albânia é um país europeu situado na península Balcânica, cuja capital é Tirana. Faz fronteira ao norte com o Montenegro, a nordeste com o Kosovo, a leste com a Macedónia, a leste e a sul com a Grécia e a oeste com o Mar Adriático, do outro lado do qual se encontra a Itália. A língua oficial é o albanês.
Alemanha	A Alemanha, oficialmente República Federal da Alemanha (em alemão: , ), é um país localizado na Europa central. É limitado a norte pelo Mar do Norte, Dinamarca e pelo Mar Báltico, a leste pela Polônia e pela República Checa, a sul pela Áustria e pela Suíça e a oeste pela França, Luxemburgo, Bélgica e Países Baixos. O território da Alemanha abrange 357.021 quilômetros quadrados e é influenciado por um clima temperado sazonal. Com 81,8 milhões de habitantes em janeiro de 2010,
Alemanha Oriental	A Alemanha Oriental, oficialmente República Democrática Alemã (RDA, em alemão Deutsche Demokratische Republik - DDR) foi um Estado nacional criado em 1949 com o fim da Zona de ocupação soviética, uma das Zonas ocupadas pelos Aliados na Alemanha após a Segunda Guerra Mundial, quando o território alemão foi repartido entre os sectores estadunidense, britânico, francês e soviético. O sector soviético daria origem à República Democrática Alemã (RDA), enquanto que a junção dos outros três formou a República Federal da Alemanha (RFA), ou Alemanha Ocidental.
Alemanha oriental	A Alemanha Oriental, oficialmente República Democrática Alemã (RDA, em alemão Deutsche Demokratische Republik - DDR) foi um Estado nacional criado em 1949 com o fim da Zona de ocupação soviética, uma das Zonas ocupadas pelos Aliados na Alemanha após a Segunda Guerra Mundial, quando o território alemão foi repartido entre os sectores estadunidense, britânico, francês e soviético. O sector soviético daria origem à República Democrática Alemã (RDA), enquanto que a junção dos outros três formou a República Federal da Alemanha (RFA), ou Alemanha Ocidental.
Alexander Melville Bell	foneticista e pai de Alexander Graham Bell (1819-1905)
Alfabeto cirílico	O alfabeto cirílico (em búlgaro e macedônio: кирилица; em russo: кириллица; em ucraniano: кирилиця; em bielorusso: Кірыліца; em ruteno: кырилиця; em sérvio: ћирилица) é um alfabeto cujas variantes são utilizadas para a grafia de seis línguas nacionais eslavas (bielorrusso, búlgaro, macedônio, russo, sérvio e ucraniano), além do ruteno, e outras línguas extintas. Ademais é usado por várias línguas não-eslavas, faladas na antiga União Soviética - como o mongol, o cazaque, o uzbeque, o quirguiz e o tadjique, entre outras da Europa Oriental, do Cáucaso e da Sibéria.
Alfred Tennyson	Inglês e poeta vitoriano (1809-1892)
Algéria	A Argélia (em arabe: الجزائر, transl. al-Jazā’ir; em tamazight: Dzayer), oficialmente a República Argeliana Democrática e Popular, é um país da África do Norte que faz parte do Maghreb. Sua capital é Argel, é situa-se ao norte, sul da costa do mediterrâneo. Com uma superfície de 2 381 741 km², ele é o maior país próximo ao Mediterrâneo e o segundo mais extenso da África, sendo apenas menor que o Sudão. Ele partilha suas fronteiras terrestres ao nordeste com a Tunísia, a leste com a Líbia, ao sul com o Níger e o Mali, a sudoeste com a Mauritânia e o território contestado do Saara Ocidental, e ao oeste com o Marrocos.
Alteza	(Sua Alteza ou vossa Alteza) título usado para abordar uma pessoa real
Amelia Earhart	Aviadora, primeira mulher a voar solo ininterruptamente sobre o Atlântico (1928); ao tentar voar ao redor do mundo ela desapareceu sobre o Pacífico (1898-1937)
Amesterdão	centro industrial e a capital nominal dos Países Baixos;
Amsterdã	centro industrial e a capital nominal dos Países Baixos;
Amsterdão	centro industrial e a capital nominal dos Países Baixos;
América Central	o istmo ligando a América do Norte e a América do Sul;
América Latina	as partes da América do Norte e América do Sul ao sul dos Estados Unidos, onde as línguas românicas sao faladas
Anatidae	pequeno pássaro, selvagem ou domesticad, aquatico, com bico largo, web-footed, geralmente com um corpo deprimido e pernas curtas
Andorra	Andorra é um pequeno país europeu localizado num enclave nos Pireneus entre o nordeste da Espanha e o sudoeste da França. Antes isolado, o principado é hoje um país próspero principalmente devido ao crescimento do turismo e por seu status de paraíso fiscal. Atualmente, a população andorrana está listada como tendo a maior expectativa de vida do mundo, com média de 83,52 anos (2007) .
Andrew Jackson	7o. presidente dos EUA; defendeu com sucesso New Orleans dos britânicos em 1815; ampliou o poder da presidência (1767-1845)
Andrew Johnson	17o. Presidente dos Estados Unidos; foi eleito vice-presidente e sucedeu Lincoln, quando Lincoln foi assassinado; foi cassado, mas absolvido por um voto (1808-1875)
Andrija Mohorovičić	Geofísico iugoslavo que dá nome a descontinuidade Mohorovicic (1857-1936)
Angola	Angola é um país da costa ocidental da África, cujo território principal é limitado a norte e a leste pela República Democrática do Congo, a leste pela Zâmbia, a sul pela Namíbia e a oeste pelo Oceano Atlântico. Angola inclui também o enclave de Cabinda, através do qual faz fronteira com a República do Congo, a norte. Para além dos vizinhos já mencionados, Angola é o país mais próximo da colónia britânica de Santa Helena. Uma antiga colónia de Portugal, foi colonizada no século XV, e permaneceu como sua colónia até à independência em 1975. O primeiro europeu a chegar a Angola foi o explorador português Diogo Cão. Sua capital e maior cidade é Luanda.
Antartica	|- | Área || 14.000.000 km² ( 2% 280.000 km² livres de gelo, 98% 13.720.000 km² cobertos por gelo) |- | População || c. 1.000 (não permanente) |- | Governo– Secretário-geral || governado pelo Tratado da AntártidaJohannes Huber |- | Territórios reivindicados (suspensos) || |- | Direito reservado de fazer reivindicações || |- | Cód. Internet || .aq |- | Cód. telef. || +672 |} A Antártica ou Antártida (ambos os termos no Brasil) ou Antárctida (em Portugal), do grego ανταρκτικως «antarktikos», "oposto a ártico", é o mais meridional dos continentes e um dos menores, com uma superfície de catorze milhões de quilômetros quadrados. Rodeia o Pólo Sul, e por esse motivo está quase completamente coberta por enormes geleiras (glaciares), exceção feita a algumas zonas de elevado aclive nas cadeias montanhosas e à extremidade norte da Península Antártica. Sua formação se deu pela separação do antigo supercontinente Gondwana há aproximadamente 100 milhões de anos e seu resfriamento aconteceu nos últimos 35 milhões de anos.
Antilhas Holandesas	As Antilhas Holandesas ou Antilhas Neerlandesas
Antilhas Neerlandesas	As Antilhas Holandesas ou Antilhas Neerlandesas
Antilhas holandesas	As Antilhas Holandesas ou Antilhas Neerlandesas
Antárctica	|- | Área || 14.000.000 km² ( 2% 280.000 km² livres de gelo, 98% 13.720.000 km² cobertos por gelo) |- | População || c. 1.000 (não permanente) |- | Governo– Secretário-geral || governado pelo Tratado da AntártidaJohannes Huber |- | Territórios reivindicados (suspensos) || |- | Direito reservado de fazer reivindicações || |- | Cód. Internet || .aq |- | Cód. telef. || +672 |} A Antártica ou Antártida (ambos os termos no Brasil) ou Antárctida (em Portugal), do grego ανταρκτικως «antarktikos», "oposto a ártico", é o mais meridional dos continentes e um dos menores, com uma superfície de catorze milhões de quilômetros quadrados. Rodeia o Pólo Sul, e por esse motivo está quase completamente coberta por enormes geleiras (glaciares), exceção feita a algumas zonas de elevado aclive nas cadeias montanhosas e à extremidade norte da Península Antártica. Sua formação se deu pela separação do antigo supercontinente Gondwana há aproximadamente 100 milhões de anos e seu resfriamento aconteceu nos últimos 35 milhões de anos.
Antártica	|- | Área || 14.000.000 km² ( 2% 280.000 km² livres de gelo, 98% 13.720.000 km² cobertos por gelo) |- | População || c. 1.000 (não permanente) |- | Governo– Secretário-geral || governado pelo Tratado da AntártidaJohannes Huber |- | Territórios reivindicados (suspensos) || |- | Direito reservado de fazer reivindicações || |- | Cód. Internet || .aq |- | Cód. telef. || +672 |} A Antártica ou Antártida (ambos os termos no Brasil) ou Antárctida (em Portugal), do grego ανταρκτικως «antarktikos», "oposto a ártico", é o mais meridional dos continentes e um dos menores, com uma superfície de catorze milhões de quilômetros quadrados. Rodeia o Pólo Sul, e por esse motivo está quase completamente coberta por enormes geleiras (glaciares), exceção feita a algumas zonas de elevado aclive nas cadeias montanhosas e à extremidade norte da Península Antártica. Sua formação se deu pela separação do antigo supercontinente Gondwana há aproximadamente 100 milhões de anos e seu resfriamento aconteceu nos últimos 35 milhões de anos.
Antártida	|- | Área || 14.000.000 km² ( 2% 280.000 km² livres de gelo, 98% 13.720.000 km² cobertos por gelo) |- | População || c. 1.000 (não permanente) |- | Governo– Secretário-geral || governado pelo Tratado da AntártidaJohannes Huber |- | Territórios reivindicados (suspensos) || |- | Direito reservado de fazer reivindicações || |- | Cód. Internet || .aq |- | Cód. telef. || +672 |} A Antártica ou Antártida (ambos os termos no Brasil) ou Antárctida (em Portugal), do grego ανταρκτικως «antarktikos», "oposto a ártico", é o mais meridional dos continentes e um dos menores, com uma superfície de catorze milhões de quilômetros quadrados. Rodeia o Pólo Sul, e por esse motivo está quase completamente coberta por enormes geleiras (glaciares), exceção feita a algumas zonas de elevado aclive nas cadeias montanhosas e à extremidade norte da Península Antártica. Sua formação se deu pela separação do antigo supercontinente Gondwana há aproximadamente 100 milhões de anos e seu resfriamento aconteceu nos últimos 35 milhões de anos.
Antígua e Barbuda	Antígua e Barbuda (mais raramente Antiga e Barbuda) é uma nação das Caraíbas, constituída pelas ilhas de Antígua (280 km²), Barbuda (161 km²) e Redonda (1,5 km²). Os vizinhos mais próximos são Guadalupe (a sul) e dependências (a noroeste), Montserrat a sudoeste, e São Cristóvão e Nevis a oeste. A capital é Saint John's.
Anunciação	um festival que comemora o anúncio da Encarnação pelo anjo Gabriel à Virgem Maria; o dia que marca o meio do trimestre na Inglaterra, País de Gales e Irlanda (para escolas)
Anunciação da Virgem Maria	um festival que comemora o anúncio da Encarnação pelo anjo Gabriel à Virgem Maria; o dia que marca o meio do trimestre na Inglaterra, País de Gales e Irlanda (para escolas)
Argelia	A Argélia (em arabe: الجزائر, transl. al-Jazā’ir; em tamazight: Dzayer), oficialmente a República Argeliana Democrática e Popular, é um país da África do Norte que faz parte do Maghreb. Sua capital é Argel, é situa-se ao norte, sul da costa do mediterrâneo. Com uma superfície de 2 381 741 km², ele é o maior país próximo ao Mediterrâneo e o segundo mais extenso da África, sendo apenas menor que o Sudão. Ele partilha suas fronteiras terrestres ao nordeste com a Tunísia, a leste com a Líbia, ao sul com o Níger e o Mali, a sudoeste com a Mauritânia e o território contestado do Saara Ocidental, e ao oeste com o Marrocos.
Argélia	A Argélia (em arabe: الجزائر, transl. al-Jazā’ir; em tamazight: Dzayer), oficialmente a República Argeliana Democrática e Popular, é um país da África do Norte que faz parte do Maghreb. Sua capital é Argel, é situa-se ao norte, sul da costa do mediterrâneo. Com uma superfície de 2 381 741 km², ele é o maior país próximo ao Mediterrâneo e o segundo mais extenso da África, sendo apenas menor que o Sudão. Ele partilha suas fronteiras terrestres ao nordeste com a Tunísia, a leste com a Líbia, ao sul com o Níger e o Mali, a sudoeste com a Mauritânia e o território contestado do Saara Ocidental, e ao oeste com o Marrocos.
Armillaria	gênero de cogumelos comestíveis com esporos brancos, anel e suco azul; alguns são comestíveis; alguns causam apodrecimento da raiz
Arménia	A (em arménio Հայաստան, transl. Hayastan, ou Հայք, Hayq), denominada oficialmente de República da Arménia, é um país sem costa marítima localizado numa região montanhosa na Eurásia, entre o mar Negro e o mar Cáspio, no sul do Cáucaso.
Armênia	A (em arménio Հայաստան, transl. Hayastan, ou Հայք, Hayq), denominada oficialmente de República da Arménia, é um país sem costa marítima localizado numa região montanhosa na Eurásia, entre o mar Negro e o mar Cáspio, no sul do Cáucaso.
Arqueano	o tempo de 3.800 milhões de anos para 2.500 milhões de anos atrás; A crosta da Terra se formou; organismos unicelulares são as primeiras formas de vida
Aruba	Aruba é um território autônomo neerlandês das Caraíbas, ao largo da costa da Venezuela. Além da Venezuela, o seu vizinho mais próximo é outro território neerlandês: as Antilhas Neerlandesas. Capital: Oranjestad
Arábia Saudita	A Arábia Saudita (, transl. as-Su’ūdiyya), oficialmente Reino da Arábia Saudita (‎, transl. al-Mamlaka al-ʻArabiyya as-Suʻūdiyya), é um país do Sudoeste da Ásia, sendo a maior nação do Oriente Médio. Faz fronteira com a Jordânia e com o Iraque no norte e nordeste, com o Kuwait, Catar,e Emirados Árabes Unidos no leste, com Omã no sudoeste e com o Iêmen no sul. O Golfo Pérsico fica a nordeste e o Mar Vermelho a oeste do país. Tem uma população estimada em 28 milhões de habitantes e seu tamanho é de cerca de 2.149.690 quilômetros quadrados.
Assembleia Geral	a assembleia deliberativa suprema das Nações Unidas
Assembléia Geral	a assembleia deliberativa suprema das Nações Unidas
Assembléia de Deus	uma denominação protestante que atrai atencao
Assistente Pessoal Digital	um dispositivos eletrônico leve que se parece com um computador portatil, mas em vez disso executa tarefas específicas; pode servir como um diário ou um banco de dados pessoais ou um telefone ou um despertador etc
Asvina	o sétimo mês do calendário hindu
Australian Crawl	um tipo de natação; braços são movidos alternadamente por cima acompanhado de um pontapé vibrante
Austrália	A Austrália (em inglês Australia), oficialmente Comunidade da Austrália (em inglês: Commonwealth of Australia) é um país do hemisfério sul, localizado na Oceania, que compreende a menor área continental do mundo ("continente australiano"), a ilha da Tasmânia e várias ilhas adjacentes nos oceanos Índico e Pacífico. O continente-ilha, como a Austrália por vezes é chamada, é banhado pelo oceano Índico, a sul e a oeste, pelo mar de Timor, mar de Arafura e Estreito de Torres, a norte, e mar de Coral e mar da Tasmânia, a leste. Através destes mares, tem fronteira marítima com a Indonésia, Timor-Leste e Papua-Nova Guiné, a norte, e com o território francês da Nova Caledónia, a leste, e a Nova Zelândia a sudeste.
B. B. King	guitarrista e cantor de blues dos Estados Unidos (nascido em 1925)
Baamas	As Bahamas ou Baamas são um país das Caraíbas, situado entre o oceano Atlântico, a nordeste, e o mar das Caraíbas, a sudoeste. Os territórios mais próximos são a colónia britânica de Turks e Caicos, a sueste, os Estados Unidos, a noroeste, Cuba, a sudoeste, e o Haiti, a sudeste. Sua capital é Nassau.
Bahamas	As Bahamas ou Baamas são um país das Caraíbas, situado entre o oceano Atlântico, a nordeste, e o mar das Caraíbas, a sudoeste. Os territórios mais próximos são a colónia britânica de Turks e Caicos, a sueste, os Estados Unidos, a noroeste, Cuba, a sudoeste, e o Haiti, a sudeste. Sua capital é Nassau.
Bairros da Noruega	A Noruega (bokmål: Norge; nynorsk Noreg), oficialmente Reino da Noruega, é um país nórdico da Europa setentrional que ocupa a parte ocidental da Península Escandinava, a ilha de Jan Mayen e o arquipélago ártico de Svalbard, através do Tratado de Svalbard. A parte continental do país divide fronteira a leste com a Suécia, ao sul com a Finlândia e a leste com a Rússia. O Reino Unido e as Ilhas Faroe estão a oeste, através do Mar do Norte, a Islândia e a Groenlândia estão a oeste, através do mar da Noruega, e a Dinamarca fica próxima ao extremo sul do país, através do estreito de Skagerrak. A Ilha Bouvet e a Ilha de Pedro I são territórios dependentes (norueguês:Biland) da Noruega, mas não são considerados parte do Reino. A Noruega também reivindica uma parte da Antártida conhecida como Terra da Rainha Maud, uma reivindicação que foi reconhecida pela Austrália, França, Nova Zelândia e Reino Unido. A extensa linha costeira da Noruega, de frente para o Oceano Atlântico Norte e para o Mar de Barents, é a casa de seus famosos fiordes.
Baixo saxão	O baixo saxão (também conhecido como baixo alemão ocidental, conhecido pelos próprios falantes como Plattdeutsch ou Nedersaksisch) é um grupo de dialetos do baixo alemão falados nos estados do noroeste da Alemanha (Baixa Saxônia, Renânia do Norte-Vestfália, Breme, Hamburgo, Schleswig-Holstein e Saxônia-Anhalt), no nordeste dos Países Baixos e por uma minoria no extremo sul da Dinamarca. Juntamente com o baixo alemão oriental forma o baixo alemão.
Baixo-saxão	O baixo saxão (também conhecido como baixo alemão ocidental, conhecido pelos próprios falantes como Plattdeutsch ou Nedersaksisch) é um grupo de dialetos do baixo alemão falados nos estados do noroeste da Alemanha (Baixa Saxônia, Renânia do Norte-Vestfália, Breme, Hamburgo, Schleswig-Holstein e Saxônia-Anhalt), no nordeste dos Países Baixos e por uma minoria no extremo sul da Dinamarca. Juntamente com o baixo alemão oriental forma o baixo alemão.
Bangladeche	O Bangladesh (etimologicamente, A Nação Bengali; também conhecido pela forma portuguesa Bangladeche ou Bangladexe ) é um país asiático rodeado quase por inteiro pela Índia, excepto a sudeste, onde tem uma pequena fronteira terrestre com Myanmar, e a sul, onde tem litoral no Golfo de Bengala. O país está listado entre as economias "Próximos Onze". A capital é Daca.
Bangladesh	O Bangladesh (etimologicamente, A Nação Bengali; também conhecido pela forma portuguesa Bangladeche ou Bangladexe ) é um país asiático rodeado quase por inteiro pela Índia, excepto a sudeste, onde tem uma pequena fronteira terrestre com Myanmar, e a sul, onde tem litoral no Golfo de Bengala. O país está listado entre as economias "Próximos Onze". A capital é Daca.
Bangor	cidade localizada no leste central do estado americano do Maine, no Condado de Penobscot
Belarus	A Rússia Branca, Bielorrússia ou Bielo-Rússia (em bielorrusso e russo Беларусь, transl. Belarus) ou ainda Belarus é um país localizado na Europa Oriental. Sem acesso ao mar, faz fronteira com a Rússia a leste, com a Ucrânia ao sul, com a Polónia a oeste e com a Lituânia e a Letônia a norte. Sua capital é a cidade de Minsk; outros importantes centros urbanos são Brest, Hrodna, Gomel, Mogilev, Vitebsk e Bobruisk. Um terço do país é coberto por florestas e a agricultura e manufatura são os setores mais desenvolvidos da economia bielorrussa.
Belisa	Belize (antigamente Honduras Britânicas) é um pequeno país da América Central, limitado a norte pelo México, a leste pelo Golfo de Honduras e a sul e a oeste pela Guatemala. Belmopan é a capital do país enquanto a cidade de Belize é a maior cidade.
Belize	Belize (antigamente Honduras Britânicas) é um pequeno país da América Central, limitado a norte pelo México, a leste pelo Golfo de Honduras e a sul e a oeste pela Guatemala. Belmopan é a capital do país enquanto a cidade de Belize é a maior cidade.
Bengali	O bengali ou bangla (বাঙলা) é a língua falada pelas populações de Bangladesh e pelo estado indiano vizinho de Bengala Ocidental. Há também comunidades significativas de falantes de bengali em Assam (outro estado indiano também vizinho a Bengala Ocidental e Bangladesh), além de populações imigrantes no Ocidente e no Oriente Médio.
Benim	O Benim ou Benin , oficialmente designado como República do Benim , é um país da região ocidental da África limitado a norte pelo Burkina Faso e pelo Níger, a leste pela Nigéria, a sul pela Enseada do Benim e a oeste pelo Togo.
Benin	O Benim ou Benin , oficialmente designado como República do Benim , é um país da região ocidental da África limitado a norte pelo Burkina Faso e pelo Níger, a leste pela Nigéria, a sul pela Enseada do Benim e a oeste pelo Togo.
Bermudas	As ilhas Bermudas, em geral designadas por Bermuda, são territórios britânicos ultramarinos localizadas no Oceano Atlântico, constituídas por uma ilha principal e um conjunto de pequenas ilhas separadas por estreitos canais, hoje ligadas por pontes rodoviárias. O território mais próximo é a costa leste dos Estados Unidos da América, mais especificamente o Cabo Hatteras, e por esse motivo (e também porque as ilhas fazem parte da Placa Norte-americana), inclui-se as Bermudas na América do Norte.
Bielorrussia	A Rússia Branca, Bielorrússia ou Bielo-Rússia (em bielorrusso e russo Беларусь, transl. Belarus) ou ainda Belarus é um país localizado na Europa Oriental. Sem acesso ao mar, faz fronteira com a Rússia a leste, com a Ucrânia ao sul, com a Polónia a oeste e com a Lituânia e a Letônia a norte. Sua capital é a cidade de Minsk; outros importantes centros urbanos são Brest, Hrodna, Gomel, Mogilev, Vitebsk e Bobruisk. Um terço do país é coberto por florestas e a agricultura e manufatura são os setores mais desenvolvidos da economia bielorrussa.
Bielorrússia	A Rússia Branca, Bielorrússia ou Bielo-Rússia (em bielorrusso e russo Беларусь, transl. Belarus) ou ainda Belarus é um país localizado na Europa Oriental. Sem acesso ao mar, faz fronteira com a Rússia a leste, com a Ucrânia ao sul, com a Polónia a oeste e com a Lituânia e a Letônia a norte. Sua capital é a cidade de Minsk; outros importantes centros urbanos são Brest, Hrodna, Gomel, Mogilev, Vitebsk e Bobruisk. Um terço do país é coberto por florestas e a agricultura e manufatura são os setores mais desenvolvidos da economia bielorrussa.
Birmânia	é um país do sul da Ásia continental limitado ao norte e nordeste pela China, a leste pelo Laos, a sudeste pela Tailândia, ao sul pelo Mar de Andamão e pelo Canal do Coco, a oeste pelo Golfo de Bengala e a noroeste por Bangladesh e pela Índia; "muito ópio é cultivado em Myanmar"
Bob Dylan	compositor americano conhecido por suas canções de protesto (nascido em 1941)
Bolívia	A Bolívia (oficialmente Estado Plurinacional da Bolívia A nova república adotou oficialmente o nome de Bolívia em 3 de outubro de 1825. e organizados pelo criminoso nazista Klaus Barbie, deram un golpe de estado para evitar a eleição de Hernán Siles Suazo como presidente democrático.
Borboleta	um estilo de natação em que os braços são jogados para a frente juntos para fora da água, enquanto os pés são chutados para cima e para baixo
Botsuana	O Botswana ou Botsuana (ambas as formas utilizadas nos países lusófonos) é um país da África Austral, limitado a oeste e norte pela Namíbia, a leste pelo Zimbábue e a sul pela África do Sul. Ao norte, uma curta faixa de aproximadamente 750 metros, ao longo do rio Zambeze, com travessia feita por ferry-boat, constitui a fronteira com a Zâmbia. Sua capital é Gaborone.
Botswana	O Botswana ou Botsuana (ambas as formas utilizadas nos países lusófonos) é um país da África Austral, limitado a oeste e norte pela Namíbia, a leste pelo Zimbábue e a sul pela África do Sul. Ao norte, uma curta faixa de aproximadamente 750 metros, ao longo do rio Zambeze, com travessia feita por ferry-boat, constitui a fronteira com a Zâmbia. Sua capital é Gaborone.
Boulder	uma cidade no centro-norte do Colorado; uma resorte nas Montanhas Rochosas centrais e cidade universitária
Brasil	maior pais latino americano com maior número de falantes do português no mundo; localizado no centro e noroeste da América do Sul; maior exportador mundial de café
Bretão	O bretão (Brezhoneg, código ISO 639 br ou bre) é uma língua celta falada na zona ocidental da Bretanha, conhecida como Baixa Bretanha (Breizh Isel). Intimamente relacionado com o córnico e com o galês, um pouco mais distante do gaélico irlandês e gaélico escocês, o bretão é a única língua celta sem estatuto oficialmente reconhecido. Faz parte da familia indo-européia. Dicionário * Minidicionário Bretão-português & Português-bretão, Yoran Embanner, 2005, ISBN : 2-914855-13-3 História A área era conhecida pelos romanos como Armórica, foi renomeada "Pequena Bretanha por causa do povo que veio da Grã-Bretanha, especialmente na Cornualha, no século VI D.C. Entre 1880 e meados do século XX, o ensino do "Bretão" foi banido das escolas e as crianças eram punidas se falassem a língua. Isso mudou, porém, em 1951 com a promulgação da Lei Deixonne, que passou a permitir o ensino da cultura e da lingua Bretã por uma três horas por semana na educação pública, se os professores assim o quisessem e conhecesem a língua.
Brunei	O Brunei é um pequeno sultanato do sudeste asiático, localizado na costa norte da ilha do Bornéu. Está dividido em dois territórios separados, embora muito próximos, separados apenas pela Baía do Brunei, ambos com costa a norte, aberta para o Mar da China Meridional, e rodeados pelos restantes lados por território pertencente à Malásia. Capital: Bandar Seri Begawan.
Bulgaria	A Bulgária (em búlgaro България, transl. Bâlgariya) é um país dos Balcãs, limitado a norte pela Roménia, a leste pelo Mar Negro, a sul pela Turquia e pela Grécia e a oeste pela Macedónia e pela Sérvia. Sua capital é Sófia. Faz parte da União Europeia desde 1 de janeiro de 2007.
Bulgária	A Bulgária (em búlgaro България, transl. Bâlgariya) é um país dos Balcãs, limitado a norte pela Roménia, a leste pelo Mar Negro, a sul pela Turquia e pela Grécia e a oeste pela Macedónia e pela Sérvia. Sua capital é Sófia. Faz parte da União Europeia desde 1 de janeiro de 2007.
Burkina Faso	O Burkina Faso (Burkina Fasso, Burquina Faso ou Burquina Fasso), antigo Alto Volta, é um país africano limitado a oeste e a norte pelo Mali, a leste pelo Níger, e a sul pelo Benin, pelo Togo, por Gana e pela Costa do Marfim. Sua capital é a cidade de Uagadugu. O país possui a pior taxa de alfabetização do mundo (23,6%).
Burkina-Faso	O Burkina Faso (Burkina Fasso, Burquina Faso ou Burquina Fasso), antigo Alto Volta, é um país africano limitado a oeste e a norte pelo Mali, a leste pelo Níger, e a sul pelo Benin, pelo Togo, por Gana e pela Costa do Marfim. Sua capital é a cidade de Uagadugu. O país possui a pior taxa de alfabetização do mundo (23,6%).
Burquina Faso	O Burkina Faso (Burkina Fasso, Burquina Faso ou Burquina Fasso), antigo Alto Volta, é um país africano limitado a oeste e a norte pelo Mali, a leste pelo Níger, e a sul pelo Benin, pelo Togo, por Gana e pela Costa do Marfim. Sua capital é a cidade de Uagadugu. O país possui a pior taxa de alfabetização do mundo (23,6%).
Burundi	O Burundi ou Burúndi é um pequeno país de África, encravado entre o Ruanda a norte, a Tanzânia a leste e a sul e a República Democrática do Congo a oeste, neste país se encontra a nascente do Rio Nilo. Capital: Bujumbura. É o país mais pobre do continente africano.
Burúndi	O Burundi ou Burúndi é um pequeno país de África, encravado entre o Ruanda a norte, a Tanzânia a leste e a sul e a República Democrática do Congo a oeste, neste país se encontra a nascente do Rio Nilo. Capital: Bujumbura. É o país mais pobre do continente africano.
